,favorites,recommendations,requirements,assessorUnderstanding,feedbackRating,ratingDescription,helpfulWays,draftChanges,techniqueErrorsRating,techniqueErrorsDescription,structureSuggestionsRating,structureSuggestionsDescription,substanceCommentsSuggestionsRating,substanceCommentsDescription,q_articulation,q_thewhy,q_specificity,q_tone,q_technique,q_structure,q_substance
1,The pickling process was explained in detail which provides great insight and establishes a connection between you as the writer and the reader.,"How can you establish your thesis more effectively?, How do you bring all of these elements together to form a more cohesive final draft?, Would it be more effective to change the order and structure in which the paper was written?",The rubric is followed well in regards to content. One thing to note is that the professor prefers Chicago style references and citations.,not really because he just give me a very basic feedback.,0.0,because he give very short feedback.,some requirement and also hot to explore my project,I will change my formatted and also re-check my essay.,3.0,he said chicago style will be good,3.0,not a lot help,3.0,may be I will check my style one more time.,4.5,2.0,3.0,4.0,1.0,3.0,2.5
11,The readings were well incorporated into the draft and the ideas were well tied together.,"What is the thesis?, How does your mead making experience exemplify mutual attunement?, How will mutual attunement and mad scientist tie into the unfinished sections?",The draft used the fermentation project and reading to support its arguments,I know they didn't because they missed things that I think are pretty darn obvious.,-1.0,I expected more nuanced feedback and do not believe that my failings are quite so entry level,"It made me realize that, as obvious as things seem to be, they need to be more obvious. ",I will review it to see if points are clear.,1.0,No mention,1.0,No mention,3.0,"Somewhat, but I am spitefully skeptical, if my comments are any indication. ",3.5,1.0,3.0,4.0,1.0,1.0,2.0
13,I liked that all the readings and how they supported your arguments was planned out and that there was a section on counterarguments,"What are some specific examples of what made you change your mind?, What impact did your fermentation project have on your viewpoints?, Are you going to explore how fermentation has an impact on societies/communities beyond the health benefits?",The draft uses the readings to support its arguments,Their questions that they wrote showed that they had an understanding of what I planned on writing in my draft.,1.0,I feel more confident about what I will write about.,I was able to get some feedback on my paper and was able to see what worked well and what didn’t. This will help me better figure out what to write about going forward.,I will try and incorporate more personal experiences and what I was feeling throughout my time fermenting. I feel that will show off my argument more and provide people a reason to trust me and my argument more.,4.0,"While they didn’t give any specific feedback on the technique, I can see that they took the time to read and understand what I wrote and would tell me if there were any problems. ",5.0,They provided me with helpful questions to answer to better my argument and essay.,5.0,I gave the rating above because they provided some helpful things to include that could make the argument even stronger.,2.5,1.0,2.5,4.0,1.0,1.0,3.0
39,"This draft has a clear direction, and very specific questions which will help guide you and your students throughout the unit. Try to have a few of the most important ones posted around the room so you can reference them whenever you want to bring the students to the ""overall goal"". ","What are some questions you can ask the students that are related to the topic of Ancient Rome that can guide them as they learn?, How can you help students veer away from the related misconceptions about Ancient Rome?, Why is learning about Ancient Rome important/relevant for 6th grade students in the 21st century? ","This draft is quite concise and is explicitly focused on the topic of Ancient Rome. The standards are clearly tied to the strands/concepts that are to be taught, and there is specificity to what you would like the students to understand by the end of the unit. Many of the concepts and the particular PO's listed should also be under the ""overarching understanding"" section, as these are the frames of knowledge you would like the students to take with them at the end of the unit. Also, my understanding of the essential questions is as follows: the overarching questions are those that are broad, ""philosophical"" questions that you can ask of this unit, as well as other similar units (e.g. why is it important to study ancient civilizations?, what can we gain from studying ancient civilizations?). The topical essential questions are slightly more specific to your unit (e.g. what elements of Ancient Roman culture have we carried into modern civilization?, how can we look to Ancient Roman leaders and examine their successes?). Hope this helps!",Because they reviewer challenged me to consider how the topic is relevant to the lives of my students today.,0.0,I don't know,It was helpful becasue it is challenging me to veer away from common misconceptions about ancient Rome.,I am going to add a component that asks students themselves to consider how the topic of ancient Rome is relevant to their lives in modern day.  What are the connections?  What can we learn from them?,3.0,refinement not errors,3.0,"The reviewer gave explicit ideas to add to the lesson, that is how i know.",3.0,Very.,5.0,4.5,4.5,3.5,1.0,4.5,4.5
40,I love the general premise of the draft. Sci-fi and Fantasy are among my favorite dramas. They are versatile and have many modes of expression for students to reflect and grow through them.,"How can you work in the differences of reflection between sci-fi and fantasy? Sci-fi is the outward look of humanity upon the universe while fantasy is the inward exploration of humanity. , How are you exploring the differences between the two genres? , What literature will you use and how in-depth will you go?",The draft builds upon standards to continue a rigorous and reflective unit. The unit itself is built around exploring how sci-fi and fantasy are tools of reflection on humanity. This builds on the standards and creates an engaging unit.,They understood the intentions by asking for even stronger details of the depth.,1.0,The assessor clearly understood and was interested in providing quality feedback.,It offered insightful suggestions into improving my assignment.,"I will include materials, and better reach the necessary depth for a strong unit plan.",5.0,Only mentioned a shortage of details.,5.0,Offered opinions on how to improve the depth.,5.0,Asked questions regarding specific content usage.,5.0,3.0,3.5,5.0,1.0,1.0,4.0
44,I liked the lesson plan! I thought it was very interesting and engaging for the students to learn about the migration of the Spanish through the use of a play I think that will lend itself to a very interesting class and student-led learning.,"How will students memorize the play?, What is the purpose of the video in relation to the greater lesson?, How will the next unit expand on this lesson?","They use standards, they have plenty of detail and provide a clear reason for why they are doing this lesson.

 IC.IM.1. Participate in conversations on familiar topics by using a series of sentences and a few connecting words.
IL.IH.1. Understand the main idea and a few details in messages, presentations, and overheard conversations (even when something unexpected is expressed) on a variety of topics related to everyday life, personal interests, and studies.
IR.IH.2. Sometimes follow stories and descriptions about events and experiences in various time frames. ",I do not know what video is talking about.,0.0,I do not understand the questions.,Made me reflect on how to help students develop their dialogues.,I will be more specific on how I want my students to create their dialogue.,1.0,I did not understand the questions.,1.0,The suggestions were confusing.,1.0,They were not helpful.,3.5,3.0,4.0,4.0,1.0,1.0,3.5
50,"I really like some of the topical understandings, particularly""what is power to young adults"" which is an excellent and engaging question with related texts provided.","Is this geared more toward the overall goal of a year than a single unit?, Can the language be more succinct?, Is the formatting consistent across the boxes; font, bullet points, and margins?",The draft provides multiple examples of state standards,Yes I believe they did understand what I was assessing; their feedback was good and authentic.,1.0,They chose a few questions they really enjoyed that helped me to focus my topic rather than grasp at many.,This assessment was helpful as it asked to narrow down some of these major topics. I had originally made these question for a unit closer but I think I made it too broad.,I will choose one or two relevant essential questions to my students so I can make my topical questions even better. I will cut out unnecessary parts and break apart other sections over the course of the year.,5.0,They noticed small font differences that I needed to change. They also noticed opportunities for more conciseness rather than unnecessary elaboration.,3.0,"They observed that there were areas that needed less words and more succinctness. This was helpful in making the strength better, not just the length. ",3.0,"They told me to make it shorter but stronger, chose a few questions, and be more specific with particular areas. I wish their feedback had been more focused but it was still effective. ",4.0,2.0,3.5,4.0,4.0,2.0,1.0
56,I like the Overarching Essential Question. It is something that can easily be connected to the students personal lives.,"In your skills, how can you either clarify or create a skill (objective) that can connect to the later assessment? I am assuming from your standards that your assessment piece is going to be some sort of writing assignment. If you make your objectives more clear you will be able to easily connect the three as you get there. , You mention in your skill that students will be able to identify the author's use for figurative language, but in your knowledge section you mention students will know figurative language. 

How can you connect this gap that could be missing in you students knowledge, within the Skills section?, If you are going to have students completing a writing portion there are some grammar or language standards you may want to consider for this unit. They can be found L.6 portion. 
I guess in question form, are you considering adding a grammar component to this lesson?",All parts of the assignment were accounted for. There is enough detail to see a good overview of what is going to being taught throughout the unit. The objectives seem to line up well with the Standards.,"The assessor focused on very technical elements of my draft, but not the overall quality of the unit. They had a general grasp of my intentions, but not the whole picture. ",0.0,The assessor didn't give any feedback that was amazing or negative. I feel like the reviewer just captured a few minor errors that could have been caught during my improvement of the draft.,"This assessment helped me see what standards, skills, and knowledge I could add to my unit. It also helped me identify any gaps between certain standards, skills, and knowledge. ",I will make sure to close gaps between knowledge and skills. I will also look into adding some supplemental grammar into my unit.,4.0,The reviewer found some minor errors with my standards.,3.0,The reviewer was able to identify some structural issues like gaps between understanding and a few skills/knowledge issues.,3.0,My peer did not add a lot of suggestions that would improve the substance of my work. My peer only discussed adding grammar and language standards to my unit.,5.0,4.5,5.0,4.0,2.5,4.5,4.5
62,I liked the fact that the teacher provided detailed information and also the knowledge that students need to succeed in class are well written and stated.,"Do students need to take someone's point of view? For example; from the slaves, or people from the south., how long will this unit take place? 
, how can you make the skills more specific?",I think that this draft follows the requirement of the assignment by having all the information needed for students to succeed.,"I think the assessor was a bit vague and broad. Im not sure if they really understood what they were intending with my draft. At the same time, my draft was also very simple and to-the-point so I understand how the feedback could've been the same.",0.0,"Like I mentioned, I think the feedback was very vague and simple. I didn't get too many new points to improve my unit. However, it was very positive and it reinforced a lot of concepts that I felt very positive about.","Thanks to the assessment, I will now add a section of questions that includes different perspectives from multiple group POVs.",I will add the different perspectives section to my essential questions.,2.0,"Not very, none of them were mentioned in the feedback.",2.0,Not very--like the errors--they did not mention them in my feedback.,3.0,"They were decently good, I did get a suggestion that I was intrigued by and wouldn't have thought about otherwise.",3.5,2.0,3.0,4.0,1.0,1.0,2.5
66,Their is a clear connection between the knoweldge​ students will know after this unit and the skills students will be able to demonstrate at the end of the unit as well.,"Maybe you can make a direct appeal to ethos with your questions and ask even more general questions about why people attend plays and why ""drama"" is so infatuating and addicting sometimes, and the way it sells? , Perhaps you can ask a topical questions more directly expressing extreme love and compassion? Maybe you can say ""how to use soliloquys ​to make someone fall in love with you? Or something along thise​ lines. , What about the language in Romeo and Juliet? (Be specific, Shakespeearian or Elizbethian) It's inaccesible?​ Etc. ","The overarching and topical essential questions follow the appropriate framework. The overaching essential questions focus on elements of drama, theatre a​nd literary elements too. The topical questions are specifically focused on Romeo and Juliet and how they relate to soliloquys ​and monologues. ",The assessor understood because it was clear they provided feedback that helped progress my plans.,1.0,"They didn't tear it apart like I was expecting, so I felt like this unit might not be as bad as it went this year",This was helpful because it added some content that I didn't even really think about and gave me some ideas to strengthen some of my questions.  The feedback I received will help me create a stronger unit because there will be more elements of real life mixed in,I will add some depth to my essential questions,3.0,I did not see any typos nor were they mentioned,4.0,They gave some strong ideas for essential questions,3.0,They took my work and looked at it on a deeper level and strengthened some of my ideas.,4.5,3.0,4.5,3.5,3.0,2.5,4.0
